cohort	sample_id	platform	primary_probe	il6r_primary	il6r_probe_mean	inferred_group
GSE17536	GSM437188	GPL570	205945_at	5.935235574	5.666631313	normal_or_adjacent
GSE17536	GSM437189	GPL570	205945_at	6.774144437	6.33766072666667	normal_or_adjacent
GSE17536	GSM437190	GPL570	205945_at	6.590550622	6.03526212166667	normal_or_adjacent
GSE17536	GSM437191	GPL570	205945_at	6.346892143	6.04174205366667	normal_or_adjacent
GSE17536	GSM437192	GPL570	205945_at	6.06352067	5.880759915	normal_or_adjacent
GSE17536	GSM437193	GPL570	205945_at	7.097562678	6.608180628	normal_or_adjacent
GSE17536	GSM437194	GPL570	205945_at	6.243105513	6.09346503166667	normal_or_adjacent
GSE17536	GSM437195	GPL570	205945_at	6.528103607	6.048368909	normal_or_adjacent
GSE17536	GSM437196	GPL570	205945_at	6.613576116	6.22824398933333	normal_or_adjacent
GSE17536	GSM437197	GPL570	205945_at	6.978382131	6.36325088166667	normal_or_adjacent
GSE17536	GSM437198	GPL570	205945_at	6.904566511	6.38725158266667	normal_or_adjacent
GSE17536	GSM437199	GPL570	205945_at	6.591947581	6.17756644466667	normal_or_adjacent
GSE17536	GSM437200	GPL570	205945_at	6.804749303	6.33004838633333	normal_or_adjacent
GSE17536	GSM437201	GPL570	205945_at	6.649365632	6.25582678733333	normal_or_adjacent
GSE17536	GSM437202	GPL570	205945_at	6.94081085	6.44691150166667	normal_or_adjacent
GSE17536	GSM437203	GPL570	205945_at	7.329921082	6.64411682366667	normal_or_adjacent
GSE17536	GSM437204	GPL570	205945_at	7.913063627	7.27136247266667	normal_or_adjacent
GSE17536	GSM437205	GPL570	205945_at	6.718130068	6.23053824066667	normal_or_adjacent
GSE17536	GSM437206	GPL570	205945_at	5.671133365	5.50455608866667	normal_or_adjacent
GSE17536	GSM437207	GPL570	205945_at	5.793727712	5.86543250966667	normal_or_adjacent
GSE17536	GSM437208	GPL570	205945_at	7.749698052	7.14244793833333	normal_or_adjacent
GSE17536	GSM437209	GPL570	205945_at	6.946354557	6.495662911	normal_or_adjacent
GSE17536	GSM437210	GPL570	205945_at	7.006637013	6.52062304533333	normal_or_adjacent
GSE17536	GSM437211	GPL570	205945_at	6.805846923	6.44094778533333	normal_or_adjacent
GSE17536	GSM437212	GPL570	205945_at	7.015247779	6.44643710533333	normal_or_adjacent
GSE17536	GSM437213	GPL570	205945_at	6.228155397	6.110896606	normal_or_adjacent
GSE17536	GSM437214	GPL570	205945_at	6.361597674	6.07319858533333	normal_or_adjacent
GSE17536	GSM437215	GPL570	205945_at	7.078506207	6.54597657033333	normal_or_adjacent
GSE17536	GSM437216	GPL570	205945_at	7.27677088	6.71678738266667	normal_or_adjacent
GSE17536	GSM437217	GPL570	205945_at	7.231213669	6.50826571933333	normal_or_adjacent
GSE17536	GSM437218	GPL570	205945_at	6.746470147	6.444876669	normal_or_adjacent
GSE17536	GSM437219	GPL570	205945_at	7.164919311	6.741361625	normal_or_adjacent
GSE17536	GSM437220	GPL570	205945_at	7.160742712	6.83961966566667	normal_or_adjacent
GSE17536	GSM437221	GPL570	205945_at	6.82805756	6.347344647	normal_or_adjacent
GSE17536	GSM437222	GPL570	205945_at	7.193539776	6.636651379	normal_or_adjacent
GSE17536	GSM437223	GPL570	205945_at	6.898552643	6.41746832733333	normal_or_adjacent
GSE17536	GSM437224	GPL570	205945_at	6.999846532	6.44491125066667	normal_or_adjacent
GSE17536	GSM437225	GPL570	205945_at	7.016017239	6.61908764166667	normal_or_adjacent
GSE17536	GSM437226	GPL570	205945_at	8.26888351	7.581964419	normal_or_adjacent
GSE17536	GSM437227	GPL570	205945_at	6.504221486	6.214164003	normal_or_adjacent
GSE17536	GSM437228	GPL570	205945_at	6.612568955	6.306866624	normal_or_adjacent
GSE17536	GSM437229	GPL570	205945_at	7.772806149	7.14141445366667	normal_or_adjacent
GSE17536	GSM437230	GPL570	205945_at	7.012135659	6.38123289933333	normal_or_adjacent
GSE17536	GSM437231	GPL570	205945_at	6.132049753	5.950686574	normal_or_adjacent
GSE17536	GSM437232	GPL570	205945_at	6.218816786	6.13525208666667	normal_or_adjacent
GSE17536	GSM437233	GPL570	205945_at	6.170114965	6.03530921366667	normal_or_adjacent
GSE17536	GSM437234	GPL570	205945_at	6.228375874	5.878742584	normal_or_adjacent
GSE17536	GSM437235	GPL570	205945_at	7.102922013	6.37250608966667	normal_or_adjacent
GSE17536	GSM437236	GPL570	205945_at	5.914350655	5.63189789766667	normal_or_adjacent
GSE17536	GSM437237	GPL570	205945_at	6.183018907	5.96365858366667	normal_or_adjacent
GSE17536	GSM437238	GPL570	205945_at	6.900278449	6.440549351	normal_or_adjacent
GSE17536	GSM437239	GPL570	205945_at	7.023311679	6.47934807833333	normal_or_adjacent
GSE17536	GSM437240	GPL570	205945_at	6.310490231	5.926512698	normal_or_adjacent
GSE17536	GSM437241	GPL570	205945_at	6.302003343	6.157343021	normal_or_adjacent
GSE17536	GSM437242	GPL570	205945_at	6.067153207	5.710063792	normal_or_adjacent
GSE17536	GSM437243	GPL570	205945_at	6.290935098	5.9464653	normal_or_adjacent
GSE17536	GSM437244	GPL570	205945_at	6.055778262	5.88085194833333	normal_or_adjacent
GSE17536	GSM437245	GPL570	205945_at	6.828691341	6.31359571366667	normal_or_adjacent
GSE17536	GSM437246	GPL570	205945_at	6.470294295	6.15325072233333	normal_or_adjacent
GSE17536	GSM437247	GPL570	205945_at	6.171188491	6.02298564733333	normal_or_adjacent
GSE17536	GSM437248	GPL570	205945_at	6.071973187	6.10555220266667	normal_or_adjacent
GSE17536	GSM437249	GPL570	205945_at	6.40805535	6.15813079166667	normal_or_adjacent
GSE17536	GSM437250	GPL570	205945_at	8.090214157	7.40577070233333	normal_or_adjacent
GSE17536	GSM437251	GPL570	205945_at	7.545530973	6.88759006733333	normal_or_adjacent
GSE17536	GSM437252	GPL570	205945_at	6.0628972	5.96122674566667	normal_or_adjacent
GSE17536	GSM437253	GPL570	205945_at	7.529678863	7.014316984	normal_or_adjacent
GSE17536	GSM437254	GPL570	205945_at	8.346898582	7.62736797566667	normal_or_adjacent
GSE17536	GSM437255	GPL570	205945_at	6.913748442	6.546254154	normal_or_adjacent
GSE17536	GSM437256	GPL570	205945_at	6.328464204	6.05640855533333	normal_or_adjacent
GSE17536	GSM437257	GPL570	205945_at	6.877721898	6.449412985	normal_or_adjacent
GSE17536	GSM437258	GPL570	205945_at	6.53336914	6.07095290533333	normal_or_adjacent
GSE17536	GSM437259	GPL570	205945_at	6.58916046	6.34619774433333	normal_or_adjacent
GSE17536	GSM437260	GPL570	205945_at	6.156201665	6.16737968366667	normal_or_adjacent
GSE17536	GSM437261	GPL570	205945_at	6.776899687	6.50372748433333	normal_or_adjacent
GSE17536	GSM437262	GPL570	205945_at	6.597335958	6.17618410833333	normal_or_adjacent
GSE17536	GSM437263	GPL570	205945_at	6.152395805	5.99584466866667	normal_or_adjacent
GSE17536	GSM437264	GPL570	205945_at	5.997415865	5.70161159433333	normal_or_adjacent
GSE17536	GSM437265	GPL570	205945_at	6.22514926	5.86670369766667	normal_or_adjacent
GSE17536	GSM437266	GPL570	205945_at	7.032260692	6.593545727	normal_or_adjacent
GSE17536	GSM437267	GPL570	205945_at	5.882896263	5.71166336	normal_or_adjacent
GSE17536	GSM437268	GPL570	205945_at	6.540364312	6.148011103	normal_or_adjacent
GSE17536	GSM437269	GPL570	205945_at	6.779776924	6.27606085966667	normal_or_adjacent
GSE17537	GSM437270	GPL570	226333_at	7.600936656	6.45639742133333	normal_or_adjacent
GSE17537	GSM437271	GPL570	226333_at	7.069901547	5.833384261	normal_or_adjacent
GSE17537	GSM437272	GPL570	226333_at	7.845970941	6.53464429066667	normal_or_adjacent
GSE17537	GSM437273	GPL570	226333_at	6.124270277	5.32934643766667	normal_or_adjacent
GSE17537	GSM437274	GPL570	226333_at	7.124339364	5.892897789	normal_or_adjacent
GSE17537	GSM437275	GPL570	226333_at	6.100870714	5.30465541833333	normal_or_adjacent
GSE17537	GSM437276	GPL570	226333_at	7.315830866	6.027406501	normal_or_adjacent
GSE17537	GSM437277	GPL570	226333_at	6.133869968	5.26214696266667	normal_or_adjacent
GSE17537	GSM437278	GPL570	226333_at	7.037184177	5.84369231966667	normal_or_adjacent
GSE17537	GSM437279	GPL570	226333_at	7.321716757	6.113473219	normal_or_adjacent
GSE17537	GSM437280	GPL570	226333_at	6.607926484	5.55144800866667	normal_or_adjacent
GSE17537	GSM437281	GPL570	226333_at	6.841487884	5.707000156	normal_or_adjacent
GSE17537	GSM437282	GPL570	226333_at	6.335896482	5.560923966	normal_or_adjacent
GSE17537	GSM437283	GPL570	226333_at	8.540903867	6.81288047066667	normal_or_adjacent
GSE17537	GSM437284	GPL570	226333_at	6.687013747	5.57074395733333	normal_or_adjacent
GSE17537	GSM437285	GPL570	226333_at	5.299108502	4.943429469	normal_or_adjacent
GSE17537	GSM437286	GPL570	226333_at	9.728077523	8.41224199666667	normal_or_adjacent
